date,description,category
1991-02-19,bioskop,Hiburan
1991-02-19,pagi ngopi,Makanan & Minuman
1991-02-19,lain-lain,Lainnya
1991-02-19,gfood,Makanan & Minuman
1991-02-19,kebuuan pokok,Belanja
1991-02-19,sabun,Belanja
1991-02-20,tisu,Belanja
1991-02-20,magkan malam,Makanan & Minuman
1991-02-20,warnas,Makanan & Minuman
1991-02-20,siang makan,Makanan & Minuman
1991-02-20,insentif,Gaji
1991-02-20,idm,Belanja
1991-02-20,wrg nasi,Makanan & Minuman
1991-02-21,cemilan,Makanan & Minuman
1991-02-21,isi game,Hiburan
1991-02-21,kopi pagi,Makanan & Minuman
1991-02-21,listrik,Tagihan
1991-02-21,sabun,Belanja
1991-02-21,tbungan,Investasi
1991-02-21,halfa,Belanja
1991-02-21,lain-lain,Lainnya
1991-02-21,topup gam,Hiburan
1991-02-21,kopi-kopi pagi,Makanan & Minuman
1991-02-21,belanja adpur,Belanja
1991-02-22,indomart,Belanja
1991-02-22,blfnja mingguan,Belanja
1991-02-22,netflixan,Hiburan
1991-02-22,game isi,Hiburan
1991-02-22,adn baya,Lainnya
1991-02-22,jajanan soer,Makanan & Minuman
1991-02-22,bya addmin,Lainnya
1991-02-22,tissue,Belanja
1991-02-22,bioskop,Hiburan
1991-02-22,sabun,Belanja
1991-02-22,tisu,Belanja
1991-02-23,cashbk,Investasi
1991-02-23,pls,Tagihan
1991-02-23,lain-lain,Lainnya
1991-02-23,mkn siang,Makanan & Minuman
1991-02-23,biya adm,Lainnya
1991-02-24,gam topup,Hiburan
1991-02-24,biya amdn,Lainnya
1991-02-24,sabun,Belanja
1991-02-24,lain-jlain,Lainnya
1991-02-24,kebutuan pokok,Belanja
1991-02-24,nanem moadl,Investasi
1991-02-24,tabungan,Investasi
1991-02-24,biaya adm,Lainnya
1991-02-25,kbtuhn pkk,Belanja
1991-02-25,bioskop,Hiburan
1991-02-25,ceimlan,Makanan & Minuman
1991-02-25,lain-lain,Lainnya
1991-02-25,fee adlmin,Lainnya
1991-02-25,wareg,Makanan & Minuman
1991-02-26,lain-lain,Lainnya
1991-02-26,bonus,Gaji
1991-02-26,dapur mingguan stock,Belanja
1991-02-26,prkir,Tagihan
1991-02-26,iuran lbnn,Tagihan
1991-02-27,main ke mall,Hiburan
1991-02-27,sabun,Belanja
1991-02-27,internetan,Tagihan
1991-02-27,income bulaanan,Gaji
1991-02-27,gaji bln,Gaji
1991-02-27,pagi fngopi,Makanan & Minuman
1991-02-27,bpjs,Tagihan
1991-02-27,kbtuhan pokok,Belanja
1991-02-27,freelan,Gaji
1991-02-27,tp up game,Hiburan
1991-02-27,jnasi warung,Makanan & Minuman
1991-02-27,satriming,Hiburan
1991-02-27,parkir,Tagihan
1991-02-28,warteg,Makanan & Minuman
1991-02-28,air,Tagihan
1991-02-28,bpsj,Tagihan
1991-03-01,streaming,Hiburan
1991-03-01,bioskpo,Hiburan
1991-03-01,keb. pokok,Belanja
1991-03-02,interest,Investasi
1991-03-02,niet,Tagihan
1991-03-02,go-food,Makanan & Minuman
1991-03-02,bioskop,Hiburan
1991-03-02,gofood,Makanan & Minuman
1991-03-02,malam mkn,Makanan & Minuman
1991-03-02,bioskop,Hiburan
1991-03-02,tisu,Belanja
1991-03-02,bioksop,Hiburan
1991-03-02,bktuhan pokok,Belanja
1991-03-02,naung,Investasi
1991-03-02,parkir,Tagihan
1991-03-03,silang mkan,Makanan & Minuman
1991-03-03,biya adm,Lainnya
1991-03-03,iurn bln,Tagihan
1991-03-03,snack sore,Makanan & Minuman
1991-03-03,lain-lain,Lainnya
1991-03-03,insentif,Gaji
1991-03-03,lai-nlain,Lainnya
1991-03-03,iuran blnan,Tagihan
1991-03-04,side job,Gaji
1991-03-04,bioskop,Hiburan
1991-03-04,bya adm,Lainnya
1991-03-04,lstrk,Tagihan
1991-03-04,mkan malam,Makanan & Minuman
1991-03-04,biya admin,Lainnya
1991-03-05,side job,Gaji
1991-03-05,prkr,Tagihan
1991-03-05,byr iuran,Tagihan
1991-03-05,netflxan,Hiburan
1991-03-06,pulsa isi,Tagihan
1991-03-06,idm,Belanja
1991-03-06,biya admin,Lainnya
1991-03-06,jajanan sore,Makanan & Minuman
1991-03-06,lain-alin,Lainnya
1991-03-07,bnous,Gaji
1991-03-07,lain-lain,Lainnya
1991-03-07,bpjs,Tagihan
1991-03-07,bulanan dapur belanja,Belanja
1991-03-07,bya adm,Lainnya
1991-03-07,air,Tagihan
1991-03-08,bioskop,Hiburan
1991-03-08,cemilan,Makanan & Minuman
1991-03-08,bioskop,Hiburan
1991-03-08,pls,Tagihan
1991-03-08,internetan,Tagihan
1991-03-08,prkr,Tagihan
1991-03-09,pls,Tagihan
1991-03-09,jajanan sore,Makanan & Minuman
1991-03-09,alfa,Belanja
1991-03-09,insentif,Gaji
1991-03-09,bya adjmn,Lainnya
1991-03-09,bioskop,Hiburan
1991-03-09,tissu,Belanja
1991-03-09,bpjs,Tagihan
1991-03-09,bonus,Gaji
1991-03-09,air,Tagihan
1991-03-10,inet,Tagihan
1991-03-10,bilaya admin,Lainnya
1991-03-10,game tp up,Hiburan
1991-03-10,air,Tagihan
1991-03-10,kpi pagi,Makanan & Minuman
1991-03-10,isi gajme,Hiburan
1991-03-10,pkk kbtuhn,Belanja
1991-03-11,bunga rek,Investasi
1991-03-11,bonus,Gaji
1991-03-12,main ke mkall,Hiburan
1991-03-12,prkr,Tagihan
1991-03-12,alfamart,Belanja
1991-03-12,warteg,Makanan & Minuman
1991-03-12,ngopi pagi,Makanan & Minuman
1991-03-12,tisue,Belanja
1991-03-12,byaya adm,Lainnya
1991-03-12,dwarung nasi,Makanan & Minuman
1991-03-13,inet,Tagihan
1991-03-13,tp up gme,Hiburan
1991-03-13,main ke mall,Hiburan
1991-03-14,striming,Hiburan
1991-03-14,ngopi pagi,Makanan & Minuman
1991-03-14,main ke mall,Hiburan
1991-03-14,lain-lain,Lainnya
1991-03-14,prkir,Tagihan
1991-03-14,insentif,Gaji
1991-03-14,kbtuhan pokok,Belanja
1991-03-14,insentif,Gaji
1991-03-15,topup gam,Hiburan
1991-03-15,bayar parkir,Tagihan
1991-03-15,maakn sing,Makanan & Minuman
1991-03-15,bya dmn,Lainnya
1991-03-15,alfamart,Belanja
1991-03-15,kbtun pkk,Belanja
1991-03-15,mall ke main,Hiburan
1991-03-15,air,Tagihan
1991-03-15,eb. pokok,Belanja
1991-03-15,bhlnn belajna dpaur,Belanja
1991-03-15,alfamart,Belanja
1991-03-16,sbaun,Belanja
1991-03-16,bonus,Gaji
1991-03-16,tisu,Belanja
1991-03-16,mkan siang,Makanan & Minuman
1991-03-16,bonus,Gaji
1991-03-16,warung nasi,Makanan & Minuman
1991-03-16,jajanan sore,Makanan & Minuman
1991-03-17,alpamart,Belanja
1991-03-17,interest,Investasi
1991-03-17,insnetif,Gaji
1991-03-17,alfamart,Belanja
1991-03-17,strifming,Hiburan
1991-03-17,lain-ain,Lainnya
1991-03-18,admin biya,Lainnya
1991-03-18,lai-lain,Lainnya
1991-03-18,fpagi kopi-kopi,Makanan & Minuman
1991-03-18,bioskop,Hiburan
1991-03-18,phrkr,Tagihan
1991-03-18,gopud,Makanan & Minuman
1991-03-19,up tp agme,Hiburan
1991-03-19,bank bnga,Investasi
1991-03-19,air,Tagihan
1991-03-19,jajan sore,Makanan & Minuman
1991-03-19,byr iudran,Tagihan
1991-03-19,fee adm,Lainnya
1991-03-20,tisue,Belanja
1991-03-20,iuran blan,Tagihan
1991-03-20,prkr,Tagihan
1991-03-20,mkan siang,Makanan & Minuman
1991-03-20,pokok keb.,Belanja
1991-03-20,keb. pokok,Belanja
1991-03-20,striming,Hiburan
1991-03-20,biya admn,Lainnya
1991-03-21,main ke mall,Hiburan
1991-03-21,blanja mingsguan,Belanja
1991-03-22,bayar parkir,Tagihan
1991-03-22,bioskop,Hiburan
1991-03-22,lstriik,Tagihan
1991-03-22,bioskop,Hiburan
1991-03-22,cemilan,Makanan & Minuman
1991-03-23,kprkr,Tagihan
1991-03-23,air,Tagihan
1991-03-23,lain-lain,Lainnya
1991-03-23,sore djajanan,Makanan & Minuman
1991-03-23,iuran blnan,Tagihan
1991-03-23,jadmin bya,Lainnya
1991-03-23,belanja kebutuhan mingguan,Belanja
1991-03-23,lifstrik,Tagihan
1991-03-24,laind-lain,Lainnya
1991-03-24,prkir,Tagihan
1991-03-24,biya admin,Lainnya
1991-03-24,bya admin,Lainnya
1991-03-24,gofodd,Makanan & Minuman
1991-03-24,frilkens,Gaji
1991-03-24,lsain-lain,Lainnya
1991-03-24,lain-lain,Lainnya
1991-03-24,sabun,Belanja
1991-03-24,bnga bank,Investasi
1991-03-25,pls,Tagihan
1991-03-25,cmilan,Makanan & Minuman
1991-03-25,parkir,Tagihan
1991-03-25,kopi pagi,Makanan & Minuman
1991-03-25,insentif,Gaji
1991-03-25,fee admn,Lainnya
1991-03-25,makan amlam,Makanan & Minuman
1991-03-26,lstriik,Tagihan
1991-03-26,warnas,Makanan & Minuman
1991-03-26,byaya admin,Lainnya
1991-03-26,lain-lain,Lainnya
1991-03-26,wifi,Tagihan
1991-03-26,alfamrt,Belanja
1991-03-26,mam siagn,Makanan & Minuman
1991-03-26,indomart,Belanja
1991-03-26,streaming,Hiburan
1991-03-26,streming,Hiburan
1991-03-26,alfamart,Belanja
1991-03-27,mall ke main,Hiburan
1991-03-27,malam mam,Makanan & Minuman
1991-03-27,belanja blnan mingkguan,Belanja
1991-03-27,idm,Belanja
1991-03-27,alfamrt,Belanja
1991-03-27,isi pulsa,Tagihan
1991-03-28,striming,Hiburan
1991-03-28,biaya admin,Lainnya
1991-03-28,plsa,Tagihan
1991-03-28,bioskop,Hiburan
1991-03-28,mam malam,Makanan & Minuman
1991-03-29,pls,Tagihan
1991-03-29,kopi-kopi agi,Makanan & Minuman
1991-03-29,air,Tagihan
1991-03-29,streming,Hiburan
1991-03-29,cemilan,Makanan & Minuman
1991-03-29,prkir,Tagihan
1991-03-30,indomart,Belanja
1991-03-30,topup gam,Hiburan
1991-03-30,alfamrt,Belanja
1991-03-31,ngopi fpagi,Makanan & Minuman
1991-03-31,bayar parkair,Tagihan
1991-03-31,topup gam,Hiburan
1991-03-31,bpjs,Tagihan
1991-03-31,token,Tagihan
1991-04-01,streaming,Hiburan
1991-04-01,saun,Belanja
1991-04-01,bikaya adm,Lainnya
1991-04-01,bpdjs,Tagihan
1991-04-01,kopi-kopi pagi,Makanan & Minuman
1991-04-01,sabun,Belanja
1991-04-01,netlfixan,Hiburan
1991-04-02,fee admn,Lainnya
1991-04-02,investasi,Investasi
1991-04-02,prkr,Tagihan
1991-04-02,lbpjs,Tagihan
1991-04-02,air,Tagihan
1991-04-02,sabun,Belanja
1991-04-02,warung nasi,Makanan & Minuman
1991-04-03,bpjs,Tagihan
1991-04-03,air,Tagihan
1991-04-03,byr iuran,Tagihan
1991-04-03,nasi warung,Makanan & Minuman
1991-04-03,alfamrt,Belanja
1991-04-03,lain-lain,Lainnya
1991-04-03,gaji blnan,Gaji
1991-04-04,bioskop,Hiburan
1991-04-04,insentf,Gaji
1991-04-04,streming,Hiburan
1991-04-04,byaya adm,Lainnya
1991-04-04,cemilan,Makanan & Minuman
1991-04-04,parkir,Tagihan
1991-04-04,tisu,Belanja
1991-04-04,air,Tagihan
1991-04-04,lain-lain,Lainnya
1991-04-05,sore nyemil,Makanan & Minuman
1991-04-05,biya admin,Lainnya
1991-04-05,gopud,Makanan & Minuman
1991-04-05,lain-lain,Lainnya
1991-04-05,frilens,Gaji
1991-04-05,tp up game,Hiburan
1991-04-05,tabungan,Investasi
1991-04-05,main ke mall,Hiburan
1991-04-05,bioskop,Hiburan
1991-04-05,ifi,Tagihan
1991-04-05,bioskop,Hiburan
1991-04-05,kbtulhn pkk,Belanja
1991-04-06,ngopi pagi,Makanan & Minuman
1991-04-06,streaming,Hiburan
1991-04-06,sabun,Belanja
1991-04-06,fee aadmn,Lainnya
1991-04-06,pulsa,Tagihan
1991-04-07,streming,Hiburan
1991-04-07,kpi pagi,Makanan & Minuman
1991-04-07,bigoskop,Hiburan
1991-04-07,biaya admn,Lainnya
1991-04-07,fee adm,Lainnya
1991-04-07,stock dapur dapur,Belanja
1991-04-07,bya admn,Lainnya
1991-04-08,lain-lain,Lainnya
1991-04-08,pkk kbtuhn,Belanja
1991-04-08,tise,Belanja
1991-04-09,streming,Hiburan
1991-04-09,indomaret,Belanja
1991-04-09,lain-lain,Lainnya
1991-04-09,bioskop,Hiburan
1991-04-09,bioskop,Hiburan
1991-04-09,bya adm,Lainnya
1991-04-09,netflixan,Hiburan
1991-04-10,bpjs,Tagihan
1991-04-10,bya adm,Lainnya
1991-04-10,isde job,Gaji
1991-04-10,alfamrt,Belanja
1991-04-10,tissue,Belanja
1991-04-10,ngopi pagi,Makanan & Minuman
1991-04-10,air,Tagihan
1991-04-11,jajann sre,Makanan & Minuman
1991-04-11,belanja kebutuhan mingguan,Belanja
1991-04-11,byia adm,Lainnya
1991-04-11,top up game,Hiburan
1991-04-11,kpi pagi,Makanan & Minuman
1991-04-11,go-food,Makanan & Minuman
1991-04-11,ke main mall,Hiburan
1991-04-11,cahsh back,Investasi
1991-04-11,lain-lain,Lainnya
1991-04-11,mam siang,Makanan & Minuman
1991-04-12,byyaa admin,Lainnya
1991-04-12,tisu,Belanja
1991-04-12,alfamrt,Belanja
1991-04-12,biaya adm,Lainnya
1991-04-12,lain-lain,Lainnya
1991-04-12,go-food,Makanan & Minuman
1991-04-12,sltreming,Hiburan
1991-04-12,lstriik,Tagihan
1991-04-13,iuran blnan,Tagihan
1991-04-13,idm,Belanja
1991-04-13,lain-lain,Lainnya
1991-04-13,internetan,Tagihan
1991-04-13,jajan sore,Makanan & Minuman
1991-04-13,biaya adm,Lainnya
1991-04-13,bpjs,Tagihan
1991-04-14,lain-lain,Lainnya
1991-04-14,cemilan,Makanan & Minuman
1991-04-14,alfamrt,Belanja
1991-04-14,byaya amdn,Lainnya
1991-04-14,indomaret,Belanja
1991-04-14,tssue,Belanja
1991-04-14,frilens,Gaji
1991-04-14,tssu,Belanja
1991-04-14,mkn sidang,Makanan & Minuman
1991-04-14,streaming,Hiburan
1991-04-14,indomaret,Belanja
1991-04-15,mkn malam,Makanan & Minuman
1991-04-15,lain-lani,Lainnya
1991-04-15,cemilan,Makanan & Minuman
1991-04-15,sabn,Belanja
1991-04-15,jajn sroe,Makanan & Minuman
1991-04-15,cshbck,Investasi
1991-04-15,mam smalam,Makanan & Minuman
1991-04-16,mam siang,Makanan & Minuman
1991-04-16,sabun,Belanja
1991-04-16,lain-lain,Lainnya
1991-04-16,lain-lain,Lainnya
1991-04-16,kopi pagi,Makanan & Minuman
1991-04-16,streaming,Hiburan
1991-04-17,snack sore,Makanan & Minuman
1991-04-17,sabun,Belanja
1991-04-17,isi pulsa,Tagihan
1991-04-17,idm,Belanja
1991-04-17,mkn sinag,Makanan & Minuman
1991-04-18,warteg,Makanan & Minuman
1991-04-18,jajanan sore,Makanan & Minuman
1991-04-18,saun,Belanja
1991-04-19,simpanan,Investasi
1991-04-19,kblanja mingguan,Belanja
1991-04-19,gofood,Makanan & Minuman
1991-04-19,indomaret,Belanja
1991-04-19,streming,Hiburan
1991-04-19,kbtuhan pjokok,Belanja
1991-04-20,bioskop,Hiburan
1991-04-20,main ke mall,Hiburan
1991-04-20,opud,Makanan & Minuman
1991-04-20,striming,Hiburan
1991-04-20,warung nasi,Makanan & Minuman
1991-04-20,income bulanan,Gaji
1991-04-21,lain-lain,Lainnya
1991-04-21,mkn siang,Makanan & Minuman
1991-04-21,iuran blnn,Tagihan
1991-04-21,byr iuran,Tagihan
1991-04-21,jajna sore,Makanan & Minuman
1991-04-21,lstriik,Tagihan
1991-04-21,intrnet,Tagihan
1991-04-21,gfood,Makanan & Minuman
1991-04-21,cemilan,Makanan & Minuman
1991-04-22,striming,Hiburan
1991-04-22,tissue,Belanja
1991-04-22,stock dapur dapur,Belanja
1991-04-22,iuran blnan,Tagihan
1991-04-22,belanja mingguan,Belanja
1991-04-22,air,Tagihan
1991-04-22,air,Tagihan
1991-04-22,nanem mojdal,Investasi
1991-04-22,lain-lain,Lainnya
1991-04-22,streming,Hiburan
1991-04-23,nabung,Investasi
1991-04-23,fee admin,Lainnya
1991-04-23,air,Tagihan
1991-04-23,kpi pagi,Makanan & Minuman
1991-04-23,opud,Makanan & Minuman
1991-04-23,bpjs,Tagihan
1991-04-23,listrik,Tagihan
1991-04-23,byaya adm,Lainnya
1991-04-23,token,Tagihan
1991-04-24,belanja mingguan,Belanja
1991-04-24,bioskop,Hiburan
1991-04-24,kbtuhn pkk,Belanja
1991-04-24,main ke amall,Hiburan
1991-04-24,dside job,Gaji
1991-04-24,tisue,Belanja
1991-04-24,biya admn,Lainnya
1991-04-26,idm,Belanja
1991-04-26,belanja blnn mingguan,Belanja
1991-04-26,gajain,Gaji
1991-04-26,gajian,Gaji
1991-04-27,malam mkan,Makanan & Minuman
1991-04-27,interest,Investasi
1991-04-27,bpsj,Tagihan
1991-04-27,insntif,Gaji
1991-04-27,cemilan,Makanan & Minuman
1991-04-27,paketan,Tagihan
1991-04-27,netflixan,Hiburan
1991-04-28,bpjs,Tagihan
1991-04-28,pkr,Tagihan
1991-04-28,tabungan,Investasi
1991-04-28,sabun,Belanja
1991-04-28,cemilan,Makanan & Minuman
1991-04-28,lain-lain,Lainnya
1991-04-29,iuran blnan,Tagihan
1991-04-29,mam siang,Makanan & Minuman
1991-04-29,jajann sore,Makanan & Minuman
1991-04-29,insentif,Gaji
1991-04-29,jajn sore,Makanan & Minuman
1991-04-30,kopi pagi,Makanan & Minuman
1991-04-30,bioskop,Hiburan
1991-04-30,bya adm,Lainnya
1991-05-01,topup gam,Hiburan
1991-05-01,top up game,Hiburan
1991-05-01,bunga bank,Investasi
1991-05-01,biaya adm,Lainnya
1991-05-01,pokok kebutuan,Belanja
1991-05-01,tisue,Belanja
1991-05-01,byr iuran,Tagihan
1991-05-01,mkan malam,Makanan & Minuman
1991-05-02,mkan sisang,Makanan & Minuman
1991-05-02,paketan,Tagihan
1991-05-02,belanja mingguan,Belanja
1991-05-02,lbiya admn,Lainnya
1991-05-02,cemilan,Makanan & Minuman
1991-05-02,admn fee,Lainnya
1991-05-02,bnga bank,Investasi
1991-05-02,keb. phokok,Belanja
1991-05-02,lain-lain,Lainnya
1991-05-03,firlens,Gaji
1991-05-03,tisu,Belanja
1991-05-03,ndomaret,Belanja
1991-05-03,maksi,Makanan & Minuman
1991-05-03,jajan sjore,Makanan & Minuman
1991-05-03,lstkr,Tagihan
1991-05-04,tisu,Belanja
1991-05-04,lai-nlain,Lainnya
1991-05-04,oken,Tagihan
1991-05-04,bioskop,Hiburan
1991-05-04,gopud,Makanan & Minuman
1991-05-04,adm biya,Lainnya
1991-05-04,lain-lain,Lainnya
1991-05-04,lain-lain,Lainnya
1991-05-04,bya admn,Lainnya
1991-05-04,streaming,Hiburan
1991-05-04,bioskop,Hiburan
1991-05-05,ndomaret,Belanja
1991-05-05,sabun,Belanja
1991-05-05,top up gfame,Hiburan
1991-05-05,isi game,Hiburan
1991-05-05,paketn,Tagihan
1991-05-05,gofud,Makanan & Minuman
1991-05-05,topup gam,Hiburan
1991-05-05,bnga bank,Investasi
1991-05-05,gam topup,Hiburan
1991-05-05,kpi pagi,Makanan & Minuman
1991-05-06,warteg,Makanan & Minuman
1991-05-06,mam malma,Makanan & Minuman
1991-05-06,wifi,Tagihan
1991-05-07,lain-lain,Lainnya
1991-05-07,pulsa,Tagihan
1991-05-07,mam siang,Makanan & Minuman
1991-05-07,sabun,Belanja
1991-05-08,income bnln,Gaji
1991-05-08,warnas,Makanan & Minuman
1991-05-08,lain-lain,Lainnya
1991-05-08,alfamart,Belanja
1991-05-08,tp up gme,Hiburan
1991-05-08,inet,Tagihan
1991-05-08,top game up,Hiburan
1991-05-09,gajian,Gaji
1991-05-09,boiskop,Hiburan
1991-05-09,gaji bjlnn,Gaji
1991-05-09,parkir,Tagihan
1991-05-09,freelance proejct,Gaji
1991-05-09,air,Tagihan
1991-05-09,casback,Investasi
1991-05-10,sabun,Belanja
1991-05-11,striming,Hiburan
1991-05-11,bioskop,Hiburan
1991-05-11,up game tp,Hiburan
1991-05-11,mam malam,Makanan & Minuman
1991-05-11,ain ke mall,Hiburan
1991-05-11,topup gam,Hiburan
1991-05-11,sabun,Belanja
1991-05-11,isi game,Hiburan
1991-05-11,bioskop,Hiburan
1991-05-12,fee admn,Lainnya
1991-05-12,cemilan,Makanan & Minuman
1991-05-12,irun bln,Tagihan
1991-05-12,jajann soer,Makanan & Minuman
1991-05-13,bioskop,Hiburan
1991-05-13,bioskop,Hiburan
1991-05-13,insentif,Gaji
1991-05-13,bpjs,Tagihan
1991-05-13,byaya admn,Lainnya
1991-05-13,air,Tagihan
1991-05-13,mkn siang,Makanan & Minuman
1991-05-14,kopi pagi,Makanan & Minuman
1991-05-14,cemilan,Makanan & Minuman
1991-05-14,blnja dapur,Belanja
1991-05-14,mall ke main,Hiburan
1991-05-14,lain-lain,Lainnya
1991-05-14,byaya adm,Lainnya
1991-05-14,cb,Investasi
1991-05-14,main ke mall,Hiburan
1991-05-14,warteg,Makanan & Minuman
1991-05-14,sabun,Belanja
1991-05-15,byaya admn,Lainnya
1991-05-15,main ke mall,Hiburan
1991-05-15,bioskop,Hiburan
1991-05-16,kpi pagi,Makanan & Minuman
1991-05-16,parkir,Tagihan
1991-05-16,lain-lain,Lainnya
1991-05-16,project freelance,Gaji
1991-05-16,byaya adm,Lainnya
1991-05-16,isi pulsa,Tagihan
1991-05-16,main ke mall,Hiburan
1991-05-16,intrnet,Tagihan
1991-05-17,prkr,Tagihan
1991-05-17,indomaret,Belanja
1991-05-17,byr iurkan,Tagihan
1991-05-17,bioskop,Hiburan
1991-05-17,striming,Hiburan
1991-05-17,air,Tagihan
1991-05-17,streming,Hiburan
1991-05-17,fee admn,Lainnya
1991-05-17,bioskop,Hiburan
1991-05-18,investasi,Investasi
1991-05-18,alfa,Belanja
1991-05-18,mkan mlam,Makanan & Minuman
1991-05-18,fee admin,Lainnya
1991-05-18,prkr,Tagihan
1991-05-18,saun,Belanja
1991-05-18,biya adm,Lainnya
1991-05-18,bonus,Gaji
1991-05-18,biaya admn,Lainnya
1991-05-18,indomrt,Belanja
1991-05-18,lain-lain,Lainnya
1991-05-18,isi pulsa,Tagihan
1991-05-19,lstrk,Tagihan
1991-05-19,lain-lain,Lainnya
1991-05-19,netflixan,Hiburan
1991-05-20,byaya admn,Lainnya
1991-05-20,sabun,Belanja
1991-05-20,hmall main ke,Hiburan
1991-05-20,tisue,Belanja
1991-05-20,blanja mingguan,Belanja
1991-05-20,ybaya admin,Lainnya
1991-05-21,tbungan,Investasi
1991-05-21,uran bulanan,Tagihan
1991-05-21,pkk kbthun,Belanja
1991-05-22,fee admn,Lainnya
1991-05-22,alamrt,Belanja
1991-05-22,jnabung,Investasi
1991-05-22,lain-lain,Lainnya
1991-05-22,lian-lain,Lainnya
1991-05-22,biokop,Hiburan
1991-05-23,cemilan,Makanan & Minuman
1991-05-23,lain-lain,Lainnya
1991-05-23,warteg,Makanan & Minuman
1991-05-23,air,Tagihan
1991-05-23,sabun,Belanja
1991-05-23,internetan,Tagihan
1991-05-23,kbtuhan pokok,Belanja
1991-05-23,gofood,Makanan & Minuman
1991-05-24,admin byaya,Lainnya
1991-05-24,air,Tagihan
1991-05-24,topup gam,Hiburan
1991-05-24,kbtuhn pkk,Belanja
1991-05-24,intrnet,Tagihan
1991-05-24,lian-lain,Lainnya
1991-05-24,indomrt,Belanja
1991-05-24,bioskop,Hiburan
1991-05-24,wifi,Tagihan
1991-05-25,gopud,Makanan & Minuman
1991-05-25,pls,Tagihan
1991-05-25,warteg,Makanan & Minuman
1991-05-25,indomrt,Belanja
1991-05-25,lstrk,Tagihan
1991-05-25,kpi pagi,Makanan & Minuman
1991-05-25,baiya adjmn,Lainnya
1991-05-26,bunga rek,Investasi
1991-05-26,bunga rek,Investasi
1991-05-26,strimig,Hiburan
1991-05-27,mkan malam,Makanan & Minuman
1991-05-27,bonus,Gaji
1991-05-27,belanja lbnan mingguan,Belanja
1991-05-27,topup gam,Hiburan
1991-05-27,lain-lain,Lainnya
1991-05-28,mkn malam,Makanan & Minuman
1991-05-28,lain-lain,Lainnya
1991-05-28,bioskop,Hiburan
1991-05-28,fee adm,Lainnya
1991-05-28,insentif,Gaji
1991-05-29,alpamart,Belanja
1991-05-29,bjps,Tagihan
1991-05-29,bpjs,Tagihan
1991-05-29,streming,Hiburan
1991-05-29,cmilan,Makanan & Minuman
1991-05-30,indomrt,Belanja
1991-05-30,kpi pagi,Makanan & Minuman
1991-05-30,idm,Belanja
1991-05-30,lani-lain,Lainnya
1991-05-30,bayar parkir,Tagihan
1991-05-30,main ke mall,Hiburan
1991-05-30,min ke mall,Hiburan
1991-05-31,alfamart,Belanja
1991-05-31,mkn siang,Makanan & Minuman
1991-05-31,gofodd,Makanan & Minuman
1991-05-31,isi game,Hiburan
1991-05-31,biaya admin,Lainnya
1991-06-01,lhistrik,Tagihan
1991-06-01,sakbun,Belanja
1991-06-01,abyar parkir,Tagihan
1991-06-01,mkn siang,Makanan & Minuman
1991-06-01,top up game,Hiburan
1991-06-02,mam siang,Makanan & Minuman
1991-06-02,tisue,Belanja
1991-06-02,bunga bank,Investasi
1991-06-02,indomart,Belanja
1991-06-02,main ke mall,Hiburan
1991-06-03,streaming,Hiburan
1991-06-03,mkn ssiang,Makanan & Minuman
1991-06-03,mkan malam,Makanan & Minuman
1991-06-03,cash back,Investasi
1991-06-03,warnas,Makanan & Minuman
1991-06-03,alfamart,Belanja
1991-06-03,tissu,Belanja
1991-06-03,lain-lain,Lainnya
1991-06-03,stock apur mingguan,Belanja
1991-06-03,insentif,Gaji
1991-06-04,main ke mall,Hiburan
1991-06-04,warnas,Makanan & Minuman
1991-06-04,iurn bln,Tagihan
1991-06-04,pls,Tagihan
1991-06-04,byaya admin,Lainnya
1991-06-04,main ke mall,Hiburan
1991-06-04,mkn siang,Makanan & Minuman
1991-06-05,top up game,Hiburan
1991-06-05,air,Tagihan
1991-06-05,bln gai,Gaji
1991-06-05,indomart,Belanja
1991-06-05,siang mkan,Makanan & Minuman
1991-06-05,dbpjs,Tagihan
1991-06-06,lstrk,Tagihan
1991-06-06,intrnte,Tagihan
1991-06-06,streming,Hiburan
1991-06-06,streaming,Hiburan
1991-06-06,gofood,Makanan & Minuman
1991-06-07,lain-lain,Lainnya
1991-06-07,mam siang,Makanan & Minuman
1991-06-07,proyekan,Gaji
1991-06-07,air,Tagihan
1991-06-07,lain-lain,Lainnya
1991-06-07,lain-lain,Lainnya
1991-06-07,lain-lain,Lainnya
1991-06-07,air,Tagihan
1991-06-07,bpjs,Tagihan
1991-06-07,alpamart,Belanja
1991-06-07,lain-lain,Lainnya
1991-06-08,inet,Tagihan
1991-06-08,kbtuhan pokok,Belanja
1991-06-08,fiuran blnan,Tagihan
1991-06-08,tissu,Belanja
1991-06-08,kbtuhn pkk,Belanja
1991-06-08,bonus,Gaji
1991-06-08,internetan,Tagihan
1991-06-09,bya admin,Lainnya
1991-06-09,sbun,Belanja
1991-06-09,gfood,Makanan & Minuman
1991-06-09,lain-lain,Lainnya
1991-06-09,kpi pagi,Makanan & Minuman
1991-06-09,byaay admn,Lainnya
1991-06-09,amkan malam,Makanan & Minuman
1991-06-09,air,Tagihan
1991-06-09,malam makan,Makanan & Minuman
1991-06-09,tisue,Belanja
1991-06-09,indomart,Belanja
1991-06-09,pulsa isi,Tagihan
1991-06-10,keb. pokok,Belanja
1991-06-10,cemialn,Makanan & Minuman
